University_ID,Region,Institution_Type,Student_Scale,Faculty_Scale,Education_Budget_wan,Per100_Computers,Network_Coverage_%,IT_Budget_Ratio_%,IT_Staff_Ratio_%,Info_System_Count,Data_Governance_Score,Online_Service_Rate_%,Digital_Literacy_Score,Cybersecurity_Investment_%,System_Uptime_%,Management_Status
UNI0000,Central,Vocational,19387.61,1952.02,61224.47,30.43,97.27,1.82,0.66,31.58,74.33,49.67,60.43,3.26,98.65,Suboptimal
UNI0001,East,Vocational,14097.21,2004.37,23358.96,44.08,98.46,6.92,0.71,57.62,69.63,72.77,70.17,11.47,97.92,Optimal
UNI0002,Central,Vocational,4799.38,1347.96,129614.71,37.88,100.0,3.44,0.37,37.28,54.88,48.29,74.76,16.07,97.72,Suboptimal
UNI0003,East,Undergraduate,26752.22,4157.96,107478.81,56.0,96.76,1.49,0.21,79.22,62.77,61.92,56.71,14.71,100.0,Optimal
UNI0004,West,Undergraduate,19787.94,2319.49,82181.03,58.78,100.0,5.13,0.31,54.77,87.6,41.44,80.85,14.52,99.06,Optimal
UNI0005,East,Undergraduate,24568.26,1392.52,205920.53,60.27,99.89,2.34,0.75,47.63,91.28,64.78,86.52,11.54,99.58,Optimal
UNI0006,East,Vocational,5207.56,200.0,147112.82,36.16,99.72,2.49,0.5,9.14,74.48,82.44,92.44,13.33,97.83,Optimal
UNI0007,East,Vocational,3000.0,1530.11,129177.74,31.69,98.94,0.93,0.09,11.33,47.18,33.12,41.84,5.94,97.98,Suboptimal
UNI0008,East,Vocational,10902.45,607.58,265562.59,55.79,98.2,2.33,0.73,56.31,70.72,42.48,76.51,12.02,99.1,Suboptimal
UNI0009,East,Undergraduate,13873.76,999.47,183992.09,42.96,99.23,3.91,0.45,42.39,61.32,46.68,63.62,13.97,96.79,Suboptimal
UNI0010,East,Vocational,22275.5,2648.13,254058.53,67.41,100.0,3.85,0.89,18.59,65.4,54.48,73.33,11.44,100.0,Optimal
UNI0011,East,Vocational,14620.54,587.27,79940.51,20.91,99.69,4.66,0.63,5.0,100.0,79.24,59.42,4.56,97.34,Suboptimal
UNI0012,East,Vocational,15687.17,754.42,10000.0,33.99,99.56,1.58,0.05,39.74,65.01,72.7,72.95,16.35,99.75,Optimal
UNI0013,East,Undergraduate,17815.73,3458.66,200999.36,47.0,99.27,2.57,1.03,63.13,94.1,90.08,91.19,17.99,100.0,Optimal
UNI0014,East,Undergraduate,10976.86,1154.73,114352.96,30.87,96.41,2.45,0.58,21.13,74.37,66.29,61.35,12.44,96.79,Suboptimal
UNI0015,East,Undergraduate,10247.33,1152.69,384212.15,75.88,96.57,7.15,0.57,90.03,51.0,53.06,90.6,5.55,95.93,Suboptimal
UNI0016,East,Undergraduate,5723.05,200.0,181022.65,42.9,97.34,2.8,0.18,73.08,44.66,44.45,46.0,5.32,97.94,Suboptimal
UNI0017,East,Vocational,4244.96,1382.34,10000.0,54.85,96.63,3.51,0.48,37.72,46.22,47.52,58.31,1.96,98.29,Suboptimal
UNI0018,East,Vocational,11497.7,200.0,10000.0,57.66,98.27,2.03,0.05,17.99,46.18,94.84,43.86,11.02,100.0,Suboptimal
UNI0019,East,Vocational,17927.96,326.78,39178.56,60.48,97.53,2.23,0.23,43.49,89.17,41.49,60.87,7.45,100.0,Optimal
UNI0020,West,Vocational,18422.46,601.21,143687.04,50.23,100.0,6.83,0.47,7.41,66.73,50.88,79.47,7.39,100.0,Suboptimal
UNI0021,West,Undergraduate,9437.73,2198.44,209483.24,68.21,96.67,4.55,0.49,98.5,70.7,53.53,88.1,23.08,97.63,Optimal
UNI0022,West,Vocational,14754.96,921.11,114174.28,44.99,95.41,2.01,0.52,41.88,67.08,55.4,51.21,12.47,97.55,Suboptimal
UNI0023,Central,Vocational,16769.49,200.0,10000.0,42.85,96.57,3.03,0.29,59.68,51.76,46.89,53.76,8.42,98.89,Suboptimal
UNI0024,Central,Vocational,3000.0,200.0,69954.59,43.25,97.08,0.98,0.89,22.72,87.19,81.25,85.48,14.25,98.74,Suboptimal
UNI0025,East,Vocational,19603.76,200.0,119710.12,42.05,97.65,2.0,0.58,18.7,58.83,53.82,81.43,19.55,97.88,Suboptimal
UNI0026,West,Undergraduate,21172.43,836.42,10000.0,52.31,98.47,1.85,0.48,74.21,63.46,65.68,84.01,16.27,96.95,Optimal
UNI0027,West,Vocational,8523.0,1123.3,88955.91,41.37,97.89,3.91,0.2,47.97,77.05,52.39,47.81,6.52,100.0,Suboptimal
UNI0028,West,Vocational,16770.42,2866.75,228613.43,54.03,99.57,1.84,0.51,65.28,63.55,47.11,74.28,15.15,99.25,Optimal
UNI0029,West,Vocational,19548.79,1266.55,252313.61,79.69,100.0,3.05,0.53,30.82,84.03,85.59,47.93,13.17,100.0,Suboptimal
UNI0030,East,Undergraduate,23522.9,2244.13,134162.97,38.41,99.33,3.6,0.55,82.7,21.72,49.88,43.15,6.09,97.64,Suboptimal
UNI0031,West,Undergraduate,29867.83,3283.73,139499.46,81.64,97.28,2.53,0.68,64.36,100.0,79.99,80.85,16.52,100.0,Optimal
UNI0032,West,Vocational,11739.78,1357.84,78993.56,44.99,97.4,2.13,0.53,36.56,65.95,73.43,86.42,12.99,100.0,Optimal
UNI0033,East,Undergraduate,3000.0,492.26,185013.25,52.18,97.13,2.48,0.4,34.65,62.5,34.45,60.38,10.17,97.17,Suboptimal
UNI0034,West,Undergraduate,18329.91,3757.85,242355.17,40.5,97.55,1.69,0.3,116.75,56.41,57.54,57.66,8.39,98.06,Suboptimal
UNI0035,East,Undergraduate,13200.74,1639.47,233812.16,51.83,98.94,4.53,0.57,71.84,64.18,63.4,83.87,20.27,98.36,Optimal
UNI0036,West,Vocational,12310.27,734.38,10000.0,35.01,95.29,2.86,0.48,5.0,51.16,58.71,59.57,7.45,98.16,Suboptimal
UNI0037,West,Undergraduate,23391.79,2701.12,189030.4,32.62,97.63,4.22,0.55,76.82,65.39,68.42,35.02,11.73,99.29,Suboptimal
UNI0038,East,Vocational,14387.01,2004.04,10000.0,74.96,99.15,4.08,0.55,68.32,74.38,70.38,57.89,6.0,100.0,Optimal
UNI0039,Central,Undergraduate,37166.63,3812.69,276151.5,58.55,100.0,3.1,0.9,76.59,91.42,97.32,100.0,22.75,100.0,Optimal
UNI0040,East,Undergraduate,24821.11,2052.98,63029.35,60.24,99.06,3.43,0.17,60.58,81.13,65.33,81.19,16.8,97.88,Optimal
UNI0041,West,Vocational,7231.16,648.15,105148.81,23.17,98.08,1.98,0.21,29.68,62.12,7.51,54.23,9.74,97.92,Suboptimal
UNI0042,West,Undergraduate,9026.99,2038.25,351272.48,20.91,96.18,2.55,0.96,47.7,52.51,38.22,67.64,6.06,97.97,Suboptimal
UNI0043,Central,Undergraduate,34828.9,3083.42,264844.96,55.59,100.0,4.11,0.11,89.85,69.8,86.25,100.0,18.21,99.84,Optimal
UNI0044,West,Vocational,9457.63,1489.93,30750.07,43.01,100.0,2.92,0.87,37.4,74.7,58.19,90.73,21.18,100.0,Optimal
UNI0045,East,Vocational,10382.54,535.92,108277.86,32.89,97.12,3.21,0.56,25.49,83.3,52.18,80.58,11.83,100.0,Suboptimal
UNI0046,East,Undergraduate,22053.45,2939.6,439371.67,71.6,100.0,4.57,0.39,98.94,76.34,78.75,63.69,15.89,100.0,Optimal
UNI0047,East,Vocational,25958.47,2056.49,240814.79,42.41,100.0,2.27,0.84,71.92,72.38,96.8,64.82,19.88,100.0,Optimal
UNI0048,East,Undergraduate,19540.94,1522.71,346336.05,61.44,99.94,3.73,0.88,74.45,71.17,46.27,51.97,7.61,99.65,Optimal
UNI0049,East,Vocational,3000.0,1271.43,10000.0,32.44,96.59,0.5,0.05,20.54,81.23,70.35,50.46,17.66,97.12,Suboptimal
UNI0050,East,Undergraduate,19368.28,4029.87,309864.5,28.91,99.33,3.45,0.88,109.97,66.5,83.31,80.6,22.93,100.0,Optimal
UNI0051,East,Vocational,10807.49,426.77,23760.69,36.74,95.97,1.55,0.34,11.73,71.76,55.84,100.0,18.94,100.0,Optimal
UNI0052,East,Undergraduate,8074.15,1698.25,29556.9,54.54,97.74,6.71,0.85,40.33,100.0,55.46,77.75,17.01,99.4,Optimal
UNI0053,West,Undergraduate,7092.65,2650.13,478440.64,46.39,96.89,4.85,0.59,90.93,71.04,88.37,68.24,2.3,99.82,Optimal
UNI0054,East,Undergraduate,26420.8,2883.46,271021.74,65.02,99.7,5.56,0.71,110.62,54.39,49.49,87.73,6.11,98.89,Optimal
UNI0055,West,Vocational,3000.0,200.0,119590.25,38.16,95.44,2.97,0.19,41.04,38.63,29.43,38.79,4.29,97.27,Suboptimal
UNI0056,East,Vocational,21208.52,1074.56,23335.03,38.55,99.44,2.9,0.43,40.93,32.23,67.31,61.42,1.01,99.16,Suboptimal
UNI0057,East,Undergraduate,32918.72,2651.34,77810.32,56.24,99.13,4.66,0.89,48.84,85.03,64.64,93.35,16.83,98.11,Optimal
UNI0058,Central,Undergraduate,8705.83,200.0,262754.17,46.78,96.43,1.67,0.43,69.37,67.13,76.94,66.43,1.0,97.41,Suboptimal
UNI0059,East,Undergraduate,33591.98,3418.33,260352.16,50.06,98.26,5.83,0.9,112.78,63.16,50.37,100.0,14.72,96.18,Optimal
UNI0060,East,Undergraduate,22368.17,2717.18,267150.0,55.42,98.54,5.03,0.65,89.85,100.0,76.06,95.6,13.3,98.46,Optimal
UNI0061,Central,Vocational,30248.92,1963.24,204030.8,70.8,100.0,4.54,0.46,76.03,82.52,93.46,81.9,13.09,99.99,Optimal
UNI0062,East,Undergraduate,15704.2,2624.49,217988.85,41.66,97.53,4.85,0.38,102.05,68.73,62.1,75.24,21.43,100.0,Optimal
UNI0063,East,Vocational,3000.0,792.02,24848.27,59.2,99.57,3.26,0.78,19.92,66.45,81.51,78.54,15.15,99.61,Optimal
UNI0064,Central,Undergraduate,20780.25,1205.84,197198.98,42.91,97.81,5.37,0.99,43.67,62.64,81.49,75.77,5.6,98.93,Optimal
UNI0065,East,Undergraduate,24141.93,200.0,17196.6,38.01,98.17,2.02,0.05,51.78,50.77,48.71,70.23,12.96,96.46,Suboptimal
UNI0066,West,Vocational,8316.43,1513.4,132994.4,38.6,97.2,4.91,0.52,13.88,61.32,93.45,61.89,12.04,99.64,Suboptimal
UNI0067,East,Vocational,11455.11,1299.85,120847.52,22.09,98.13,3.28,0.61,12.66,40.05,63.06,53.51,6.17,98.45,Optimal
UNI0068,West,Vocational,22791.19,2708.6,195225.94,53.37,100.0,3.73,0.45,87.46,89.94,67.8,63.0,25.29,100.0,Optimal
UNI0069,West,Undergraduate,25076.37,801.65,74367.37,55.59,97.6,1.14,0.31,32.32,36.96,34.21,43.1,4.62,97.54,Suboptimal
UNI0070,West,Undergraduate,26017.22,2653.62,420511.86,67.45,100.0,2.55,0.49,70.23,79.7,90.62,48.78,14.88,100.0,Optimal
